employeeID;industry;company;score;like;dislike
19;Consulting;Accenture;4.0;The work culture is very adoptable and readily adopts latest technology. high-quality products and global based clients. the best part is even i am also part of a team and the management encouraging the good work. Another plus point is that my colleagues come from various cultural backgrounds, and we work happily in collaboration. i alsolike the employee re-hire policy here.;i really wants to work with accenture but salary/appraisal part is very slow they taking more than two years for contactors. and the work pressure is very high and some times i worked in late night also but still i managed and i provide myself and i got recognized from management side for reducing Candidate renege but growth is very slow.
20;Consulting;Accenture;3.0;I am part of internal IT and what I have observed is Accenture has better job security than most of our counterparts. Work culture depends from project to project. In operations of internal IT the work culture is not so good but in some projects it is really amazing. Leadership at top level of Accenture are really visionary and indus;There is a culture bias in middle management of Accenture in India. Also the HR is not very active and always takes side with middle management. It is very difficult to work in a project or group where most of the people belong from a particular region or part of India. It is more prevalent in southern part where there is least respe
21;Consulting;Accenture;4.0;"Lot of chance to skill development but manage time is very difficult. Due to high work pressure not easy to balance work life with personal life. Provide very good compensation for skilled, hard working employees; OT, Comp-off, pay on holiday work, meal coupon including with CTC. Company work culture is good ( depends on projec";Never say no to clients Adhoc request. Even if it not in the scope of any employee still need to deliver within very short time, extend working hours. But Accenture provide OT for that, sometimes it is hectic for employee perspective.
22;Consulting;Accenture;3.0;When I started my carrier in accenture it was the new project we started worked in.......The senior associate s became the team leads ......The work culture looks exactly like school .....Even after working hard we will not get any hikes .....It goes only for the favourable persons .....Iam telling you what happened in my project ...;At Accenture in some branches the cafeteria is not good and for the night shift people food won't available after 7 pm...toilets are ok with maintenance, ladies security is good to work in the night shift For entertainment lovers it will not the best Some of the team leads, trainers will treat us like we are working under them
23;Consulting;Accenture;1.0;Meet few good people. Certain certification costs may be reimbursed.;Meet a lot of bad people. Bad management, no accountability for Manager and above when they abuse others. Retaliation by management when you ask for project change. Compensation will be on lower end unless you are a lateral recruit. Gaslighting by higher management. You will be ask for feedback but will be retaliated against when you
24;Consulting;Accenture;5.0;Good work environment and culture. Teammates are supportive and the management is transparent. There is a huge cafeteria and gaming arcade for chilling. Company policies are good, appraisals are fair and they give good salary hike and bonus every year.;There is a lot of politics and the management doesn’t address our issues. Salary is decent but career growth is slow. There is a bond of 2 years before which you cannot resign. On the job training is not given to new joinees.
25;Consulting;Accenture;5.0;Lot of opportunities in terms of learning new things, trainings and your leadership supports you. Accenture is a market leader in adopting new technologies so if you want to learn new, it's right place. The work culture is very professional and you will feel difference to be part of Accenture as compared to other services organizatio;Organization's expectation from you is high as Accenture is world class leader in providing services to their client, so you have to be cautious in defining boundaries for yourself to live a balanced work life instead you become part of this never ending race.
26;Consulting;Accenture;3.0;Company offers some great opportunities to grow one's carrer but the channel to pursue the same is missing. There is no proper guidance from leadership. They always talked about it but doesn't help or show the constructive way to utilize the chance as there is a huge operational burden at the same time which steals away the time & chance to grow.;Yearly evaluation process to judge someone's performance. People are being judged & dealt with perceptions based on one or two assignments. How can a manager judge someone's performance, everyone is different & possess different capabilities. Need is to identify that instead of wasting energy in evaluating & judging someone. Somehow,
27;Consulting;Accenture;5.0;Good work culture and the management and leadership is supportive in terms of learning and new opportunities. There is no micro management and the teams are agile there by ensuring the exposure of the individual employee. Timely team connects to ensure the employees have a voice. Better hike and bonuses. They also provide free transp;Though the client might expect you to work in a particular timing, there is no shift per say in some projects. While the meetings extend till 8.30 to 9 PM due to day light saving, the employees could better avail the shift allowance and work in a shift timing there by ensuring the employee does not have to spend extra hours at work and also to get a shift allowance.
28;Consulting;Accenture;2.0;If you want to just increase salary come here, in case you get in a good team your growth in learning and view towards company will be awesome.;PIP, Probation increase happens lots, no proper management is there, no value for individual rather favourite members get all benefits and rewards, promotion too. Men and women partiality is there where men's job r insecure, risk of getting pip is high especially for new joiners getting kicked out after exact 1yr, which happened to m
29;Consulting;Accenture;3.0;I don't work here.;This review is not about me working on Accenture, but to let the people know about the stupid interview HR personnel. So I was searching for a job in this Covid situation and from someone I was referred to Accenture after a small interview, so he informed me that your communication skills are good and you'll have to wait for a las
30;Consulting;Accenture;1.0;It's not a company bro, it's a pressure cooker. Do not, even in your dreams, opt for this. Only do when you have 2 offers - 1 from wipro another from Accenture.;It's not a company, it's a pressure cooker. Don't come. No salary, no growth, 98% quality target every day. Total 5 - 7 targets to maintain each n every day, if you don't, and that follows, you'll get pip, basically you'll be asked to resign. Salary ? Well, you'll get lower than the janitor, yes not joking. Growth ? If you can provid
31;Consulting;Accenture;1.0;Nothing at all;No job security at all, hires and fires people. Firing is done secretly with no news in media, but we know how much firing is done. Very bad projects, worst management. You can grow only if you are a girl. Management forces you to work fro more than 9.5 hrs and also on weekends. Worst transport, cabs come 3 hrs early to pick you up a
32;Consulting;Accenture;5.0;Good work environment and culture. Teammates are supportive and the management is transparent. There is a huge cafeteria and gaming arcade for chilling. Company policies are good, appraisals are fair and they give good salary hike and bonus every year.;There is a lot of politics and the management doesn’t address our issues. Salary is decent but career growth is slow. There is a bond of 2 years before which you cannot resign. On the job training is not given to new joinees.
33;Consulting;Accenture;4.0;Work life balance, work from home opportunity, good projects, compensation etc are very good .;1st n most imp thing is job security, job security is very less in accenture. Also yearly performance/ rating process is not transparent. Totally depends upon managers , although if you worked hard and deliver things on time, there is no surity that you wont get PIP. Managers dont gave feedbacks after several requests and HRs are
34;Consulting;Accenture;3.0;It's a huge company and opportunities are good and trainings are available time, good for fresher's.;Fast paced environment it is good for mostly fresher's but if you are joining as lateral they will expect you more performance that involves certification's deliverables with no escalations, innovations time to time in less time otherwise they might put you in pip and low rating and you will not eligible for next appraisal also job s
35;Consulting;Accenture;3.0;All the experience good or bad depends on the project you are assigned to work inside Accenture. There are good projects where you learn a lot and there are bad projects.;M/AMs are the ones who take decision on who has to be promoted/ recognized/ what kind people of work to be assigned. There are many M/AMs stayed in the company or project from 10+ years who feel they are not accountable for any decisions and feel the project is their family business to run. Middle management in India is pathet
36;Consulting;Accenture;3.0;In this current situation, job is secure for those who are engaged in projects. Teammates or peers are supportive in nature which helps me to know the things well and pass on the same to juniors or new joiners.;Appraisals are very bad this year and the reason provided was due to COVID-19 Pandemic. Though it is pandemic everyone have their best and have worked efficiently. This is just a reason to deduct the hike. Also this happens other times too and they give lame reasons w.r.t individual appraisal whether there is pandemic or not. Some po
37;Consulting;Accenture;2.0;Job security to a point that you would eventually end up quitting it.;Limited career growth opportunities lack of supervisors effort to motivate you and can't trust them. Even after giving your 200% you're left with nothing in hand. Most of the people are ignored , ill treated and hardly rewarding no job satisfaction.
38;Consulting;Accenture;2.0;There is no Job security for sure. They take freshers from college in huge numbers and train them in the field without asking their interest and the projects in chennai location is mostly related to support and testing.. The things we did in training will not be used much in project.. WE will be learning new things here also.. those;I have given everything in the last Question itself.. Please refer.. and the worst thing every employee will go through is IT politics.. Here is also the same case.. The untold priority of IT companies is to Fire as much as employees as possible and hire freshers.. That is their hidden policy..
39;Consulting;Accenture;3.0;Good work environment and culture. Teammates are supportive. Management is not very good as per my point of view. Company policies are good and appraisals are fair.;There is a lot of politics and the management doesn’t address our issues. Salary is decent but career growth is slow.
40;Consulting;Accenture;4.0;Don't know how to describe the service which Accenture is giving to its employees. A company is pure gem, everything is just perfect. The very best thing I find in this company is employees safety, the company always prioritize the wellbeing of the employees & the most important the compensation & benefits which given by the company.;Internal Job Posting is difficult, Which can frustrate you when you really want to move to another process but don't want to leave company, because Accenture company is a Gem in the market which stands with Good wellbeing.
41;Consulting;Accenture;5.0;Have opportunity to adopts our skills growth on latest technology. I am part of team to handle all my team members tasks and make it clearly to deliver with client and also support to the team for their works to completed as expected earlier and follows sprint based work. My colleagues comes from various cultural backgrounds and have happily work in collaboration.;On critical situation have to extend hours and deliver to complete because most of the works are comes across live sites. Compensation is decent and growth is slow as expected.
42;Consulting;Accenture;4.0;Accenture is really good Organization to work for in terms of the Payscale they offer which is above Par with respect to Service Based Companies , in terms of learning and adapting to new skills, flexible work hours- everyone just wants to get the work done and less of micro management (though it depends on the higher management) and free transport to the office.;It is only since a past 2-3 years that the standard have gone down compared to what it was earlier. Now a days all we see about the company is their 10-15% firing strategies during the COVID phase. It never used to be this way round earlier , was very loyal to their employees. Apart from that everyone has their own view of dislikin
43;Consulting;Accenture;2.0;The brand value holds great importance outside the company. Thats the biggest pro. We get to work in fancy office and standard of life becomes better.;The company doesn't value any employees career. People are not alligned to their aspirations/skills. You never know where you might land, which technology you may be forced to work into. I was forced to change my skills three times in three years. At the end, I'm jack of many skills and master of none. Compensation is another fac
44;Consulting;Accenture;2.0;I suggest that if you join accenture and allocated to client projects...it will be a heaven and you can enjoy everything. But you are assigning to internal projects you better leave the company immediately how much ever you work you wont be recognized and at the same time you will going under health problems due to more mental pressure.;I am working for an internal project (myWizard), I have to work for more than 12 hours in a day and I have been going under more mental pressure in my current project. It is because of continues questions by leads, I have to answer then for every 2min and as well as I have to complete my tasks. I have frustrated completed and been re
45;Consulting;Accenture;3.0;The company policies are good by paper's not in real time..;There is a lot of politics and the management is not transparent. What the worst part is that during pandemic they haven't supported their employees as other companies TCS, HCL, Infosys, wipro and small companies. I got a call from the HR dept at 9 am morning and asked me to resign the job by evening itself forcefully. So, that we
46;Consulting;Accenture;1.0;Can't even explain the pain. We work for family, but here you only have work no family and if you ask for a day off to spend with family, you are out means no job security. Growth is zero, you should wait atleast 3 to 4 years on a level to get promotion even if you receive high performance ratings. Overall if I say, don't work here.;Work culture: managers can do anything to you Salary: as compared to market they pay less Job security: oh shit, this is beyond your thought, anytime anywhere you can be out
47;Consulting;Accenture;3.0;The company has phenomenal core values which some of the old time Accenture employees adhere to. The projects are challenging and everyone pitches in at the time of crisis.;Accenture is highly process oriented organization. High on standards in all aspects. However, the appraisal cycle is something they can work towards. The cycle is between September to August, technically. The performance from Q2 is what stays in the mind of the management who represents the resource in the appraisal. The outcome of t
48;Consulting;Accenture;5.0;Good work environment and culture. Teammates are supportive and the management is transparent. There is a huge cafeteria and gaming arcade for chilling. Company policies are good, appraisals are fair and they give good salary hike and bonus every year.;There is a lot of politics and the management doesn’t address our issues. Salary is decent but career growth is slow. There is a bond of 2 years before which you cannot resign. On the job training is not given to new joinees.
49;Consulting;Accenture;1.0;The training provides the core description of the company but it does not really reflect the actual practice in the inside. There is sense of hypocrism in the inside. But the internal people running the show are very biased and selecrive based on personal taste. Very subjective. Harrassment is prominent and can hardly be give;The training provides the core description of the company But it does not really reflect the acrual practice inside the company. There is a sense of hypocrism inside. The internal people running the show are very biased and selective which prominently are based on personal taste and not by what they sell (core values : best peop
50;Consulting;Accenture;4.0;Good work culture, managment is cooperative if you perform well, lots of buttering required in case of promotions, Zero job security in this pendemic situation;Good innovation, good work life balance, good travel facility, worst training ever, bad appraisal, lots of buttering required (if you are doing well you wont be promoted because collogues have shown you as a bad image in front of managers), Bad learning, Lots and lots of work pressure in this pandemic situation, Accenture is terminat
51;Consulting;Accenture;2.0;I never expected from Accenture that am going to face this kind of situation in my life, so much partially in management and nobody is there to help employees. My TL is intentionally put me in PIP after am working 12 hours in a day with good quality and target. She targeting me for everything and she threatened me like you will loss;Everything I dislike except transportation department
52;Consulting;Accenture;3.0;Growth is completely dependent upon project and managers, as a company there are really good policies and growth chance for appreciation and compensation. Doesn't matter your manager won't nominate you and benefits won't reach you . no way to give feedback about supervisor and leadership.;We won't be able to give feedback about supervisor and managers. This process should be there. we can work as much we want but it all boils down to just supervisors feedback in the end for appraisal cycle
53;Consulting;Accenture;5.0;Accenture is a great firm which takes care of its employees. Good project where you can learn ample amount of knowledge . 7 sick leaves 22 casual leaves ..;External hire and internal hire pay discrepancies which i hated most.!! External hires are getting 27% variable packages and internal employees just get 18% variable . a big difference .
54;Consulting;Accenture;2.0;Awesome teammates. You will not get bored in Accenture. Amazing crowd. Somehow Accenture care about your choice in selecting projects by location. Work life balance. If you are at ASE level then company literally take care of you like baby. Your job is secure till 2 years even if you have done nothing. Accenture spend too much money parties. So if you are party person then you gonna enjoy it.;1.Poor salary - As compared to other MNC, Accenture gives poor salary to employees. As per my observation for fresher and 2 levels up Accenture gives 80% less salary than product based market. 2. Poor HR Management- Accenture is too poor in HR management. If you have one primary skillset then management will allocate you exactly opp
55;Consulting;Accenture;1.0;One of the worst organization to work in, they has 10 hours of rotational shift (mostly night or 1:30 am 3:30 am 5:30 am) without any incentives. TL doesn't know anything about process. Weekoffs will be charged if you refuse to do OT and you'll end up getting one weekoff. No public holiday, lots of politics. No promotions even if you;Politics among the team itself
56;Consulting;Accenture;4.0;1)Accenture has excellent training programs and makes sure that employees are updated with the current technology trends. 2) Accenture doesn't have any WFH culture and would probably call employees to office post vaccination drive . 3) Has extensively supported employees during pandemic.;1)The work life balance isn't good and there's high amount of pressure on employees. 2)They have all the necessary technical trainings available but employees don't have time to get trained as they are inundated with work! 3) Job security is lacking. 4) Project with obsolete technology
57;Consulting;Accenture;1.0;Nothing except a brand name on your resume.;"It's just a big MNC with loads of ""Resources"" working. From level 13 to level 9, they work as a PA or support staff. PCS of Accenture is a data entry team and across the level they are just doing copy paste things and they called them PMO. Salary is like 15 years people will be 10 lacs and 5 years people can have 15LPA salary."
58;Consulting;Accenture;5.0;Good work environment and culture. Teammates are supportive and the management is transparent. There is a huge cafeteria and gaming arcade for chilling. Company policies are good, appraisals are fair and they give good salary hike and bonus every year.;Nothing
59;Consulting;Accenture;3.0;Option to invest in the company shares;Its managements monopoly. Managers are show regionalism and favoritism. HR's are good for nothing, they let all managements wrongdoings slide right under their nose. Its a gender biased company. There are reservations for women employees to be promoted ahead of a deserving male candidate. Variable Pay is only for the sake of it, y
60;Consulting;Accenture;4.0;I have always got a good amount of variable pay. Liked the project outing and events when ever happened. Good amount of my learning courses available. Good culture Allowance and pay is really good and on time.;No on site opportunities for career levels 10+ Work life balance is a bit off sometimes. You may need to work late due to the deadlines and the promises made by your higher management. Depends on project to project
61;Consulting;Accenture;4.0;Work Culture is good. Healthy work environment. Management is very supportive.;Learning curve is mostly dependent on the assignments. Working hours could be more than usual depending on the project assignments. Sometimes project assignments given are not relevant to skills. Switching projects within business unit is not easy. Referral system is not good, references never get calls and their profile is put into hold status.
62;Consulting;Accenture;4.0;Work Culture wise better than Indian counterparts. Work is also better. Compensation is at par market standard. But still lagging behind on getting projects in latest technologies. Skill development portion is not upto the mark. Also hiring policies is worst. Such a big organization and pathetic HRs.. Overall 3.5/5;Lagging behind on getting projects in latest technologies. Skill development programs are not upto the mark. Hiring policies and process is pathetic. Such a big organization and so pathetic HRs.. Overall 3.5/5
63;Consulting;Accenture;1.0;The best thing about Accenture is it's Job Security. They have so many projects that if they feel you are not required in the same project they will rather switch you to a different Deal which profoundly call here;There are too many things not to like about this company: 1. Don't go by it's name, the compensation benifits this company has is the lowest. 2. HR here will only listen to the management and there's no option for an employee to put the word. 3. Working or login hours if 9.5 hours but you are entitled to work for more than 10 hour
64;Consulting;Accenture;3.0;Managers are not co-operative and not attentive towards team issues and problem keeping un realistic goals. Almost alternate weekends asked to work without prior information. Not allowed to take leave (permission not granted);Poor work life balance, minimum of 10 hrs to be invested everyday. Usually goes up to 12-13 hrs per day
65;Consulting;Accenture;2.0;One of mine worst decision to join here. Forcing like anything to work more than 12 hours every day. No holidays for us . Sometimes weekends also getting reduced. If they are in mood sometimes will give the OT. problem is with Indian leadership team only but overall company policy is very good Received thank you bonus and wfh f;No work life balance
66;Consulting;Accenture;3.0;There are lot of opportunity from offshore along with onshore and good visibility if there is no much involvement from management side but management will have lot of involvement in all aspects of area so they can secure their own job if you are getting appreciation from your work from client;Politics and work -life balance , Management will give hike based on their likes and dislikes of employee that too depends on the project to project ..They will make you work whole year even ask to come on weekends but during appraisal time they will comeup with their own story on budget and all. There are no much involvement of HR
67;Consulting;Accenture;3.0;Company is making investments and running various initiatives in employees learning program, physical and mental well being, fun programs, providing internet costs, dedicated lunch hours etc.;Different programs/initiatives (Physical/Mental well being, learning program) running by organization's are not being supported by most of project leads, Firing on the name of PIP Program, Deducting huge salary on the name of variable etc.
68;Consulting;Accenture;4.0;They will pay you money as much as they give pressure;Too much overtime, the company forces employees through poppet TL & Manager to work on Saturday and Sunday. They don't pay you for that... Don't approve earned leaves. Don't add enough FTs... All Manager will put reason that you are working from home so why u need leave, why can't you work extra... Typical indian working mentality management even though most of them are US clients
69;Consulting;Accenture;3.0;Work culture there in my project is bit complex, people around is not ready to take changes, They don't want anyone to suggest them anything. They want to work as they want. Management is not reach directly if anything. They always come via via.;I have good team there. Job Security is high. They do not fire anyone, they keep changing the projects. Career growth is slow. No one will help you out with what you will get in appraisals, they keep saying you will get, but no response to what and how.
70;Consulting;Accenture;1.0;The work given was good. Coding involved. Good learning experience. The gifts given in the form of cash were good from leadership.;Lots of work pressure. Bad treatment from team lead and managers. They made us work 12-14 hours everyday. Even after that, team lead and managers would shout at employees
71;Consulting;Accenture;4.0;The amount of exposure to various tools, projects, people and also chance to learn new technologies is what excites always. You get your time off when needed, as u can say for my deal not sure of others. Company policies ascertains you to be in top at your work and life.;The bonus structure is not always conclusive. The number of levels and sub-levels are way too much. If you don't have a position in your deal, then you are stuck at same level for years provided you change the deal.
72;Consulting;Accenture;2.0;ESOP;The worst is the HR especially L&D team and other HR related team they are too slow to respond and don't bother about the employee and without any power, mangers treat them as they want against lower employee and senior managers are worst too to handle any employee grievances No job security, too much pressure and no communication
73;Consulting;Accenture;3.0;I have been with Accenture for the last 12 years, really sad to how the company has deteriorated over the years. With the new CEO, Accenture is not the same place it used to be. During Corona time last year (June - December) Accenture has fired thousands of employees in the name of poor performance. If you have any other offe;Firing people in the name of performance. The shortsightedness of the higher management. first fire thousands of employees & then high like crazy.
74;Consulting;Accenture;4.0;Excellent projects, new technologies to work on, work from home option;They have a concept of letting senior persons from onsite locations even when they are technically incapable to lead teams which I found very stupid. Since these people lack business knowledge as well Accenture is also loosing key projects as client also is finding this loophole in Accenture. In Accenture India regionalism is very
75;Consulting;Accenture;4.0;As compare to other service service company they were good at payment and work life balance is good but again depends on project to project. but management is more oriented towards PPT rather then real technologies. All big big idea were on paper only.;Management is more oriented towards the PPT culture rather then interested in real technologies implementation which means no real scope for technologies people and so if someone technologies oriented then chances of growing is very less.
76;Consulting;Accenture;5.0;The overall work experience while working from office as well as home with respect to the work culture, work-life balance, and the scope for learning and development is excellent. I would highly recommend any candidate be it a fresher or experienced to work in Accenture and experience the beauty of work in the company.;I would like to suggest the company to slightly better the compensation.
77;Consulting;Accenture;4.0;Supportive team lead. Good work environment.;Salary hike is poor. Too much pressure of work. Long shift hours.
78;Consulting;Accenture;4.0;Big brand. Transparent compensation policy. Variable 100% paid so need not to worry about CTC. Culture is average now compare to 8 years ago. Huge training and learning opportunities;Job security not good as every year you have to prove else good bye. Work life balance. Skill upgrade not utilised in the organisation. Delay career growth.
79;Consulting;Accenture;5.0;Its really a nice organisation to work with. A lot of opportunities whether it is related to skill growth or leadership growth. The environment is very healthy & competitive which encourages innovation & development.;I don’t have any such thing to share with.
80;Consulting;Accenture;5.0;The company culture, the whole team members who were supporting each one amongst them and all and as well work life balance;Salary is decent but growth is very slow.Some of the company rules and regulations I just don't like.
81;Consulting;Accenture;5.0;First of all, the Accenture is itself such as a big and widely known brand that everyone feels good to work with such a reputed company.Teammates are great in terms of growing together at such a good working environment which makes a work life balance good.I worked so far its a valuable experience.;I don't have any comments on this.why because Accenture solution pvt ltd is a hub occasion for IT and non IT and employment security support to achieve their career growth towards even though they providing employees their own platforms to achieve their goals.teammates good depends on project. training's are okay No job security.No c
82;Consulting;Accenture;1.0;There is no job security at accenture in COVID-19. work culture also not not that much good to make meaning full comminication. Management is worrest not care about any one.every thing is more micromanagement. company policies are good. overall it ia bad experience .to survive in COVID-19 Padamic situation.;teammates good depends on project. trainings are Okay.No Job security.No Career Growth at all. No proper hikesbut salaries are some what good.No onsite ooportunities to travel(its mostly depends on project managers and directors of the project account).more politics tricky to manage and survive. there is no scope to learn. work envir
83;Consulting;Accenture;4.0;Overall good company. But if you get into any project it becomes difficult to change or learn something new. Work timing can be flexible. Job security is very good and you can keep working for 8-10 years at same place if you want to. Overall compensation is good, but variable pay should be less.;Management is normal, not bad, but can be better. HRs are usually of no help, n employees get tired of reaching out to them.
84;Consulting;Accenture;4.0;i like the work environment and the accenture policies.;The is no opportunity given , even after you upscale yourself by doing hands-on work in your personal time. Managers never give the opportunity , even if they do , the other teams are reluctant to welcome you as a member. You have to work on your skills and find new job elsewhere , but never in accenture.
85;Consulting;Accenture;3.0;Accenture is the best service based company among all the service based company. Job security is there in Accenture.;The company is good but the project I was working is worst one. The manager is very crurel and dominant.S he always want you to follow her order. She has do decide your career, the technology that you want to work and she never gives you roll-off from her project. I have bad experience working in Accenture. Requested so many times fo
86;Consulting;Accenture;2.0;Though it is MNC/Global organisation, company policies not followed - it depends on your MD, SM. Lot of politics and favoritism works here. There is no job security, management is under huge pressure from HR to identify bottom 10% performers. There is no standard process in the appraisals,. if you have god father you can survive if;Working culture, regional politics, favouritism, few people working under same supervisor and same MD for longer time though they are not great performers but they belong to same language speaking. HR management process in this company is completely big mess. There are so many groups in HR and they don't have proper communication between them. Their job is to fire today and hire next day.
87;Consulting;Accenture;5.0;Accenture provides a better job security and good platforms to learn/cross skill into new technologies.;It would be more helpful if there is a good and easy path for every employee to search for existing opportunities inside organization. It may be in function but someone like me who is new to the organization and couldn't find it in 1.8 years then it should be something to think about.
88;Consulting;Accenture;5.0;Flexible to work. Everyone are very good at team work. Friendly environment.;No increment of salary
